(in /Users/glennroberts/Current_Projects/code/resource_tracking)
Creating report for development
csv_string is org.name,org.type,a.name,a.description,Injecting drug users,Men who have sex with men,Migrants/mobile populations,Prison inmates,Sex Workers,Women,Young people,a.text_for_beneficiaries,a.text_for_targets,a.target,a.budget,a.spend,a.start,a.end,a.provider,Bugesera,Burera,Gakenke,Gasabo,Gatsibo,Gicumbi,Gisagara,Huye,Kamonyi,Karongi,Kayonza,Kicukiro,Kirehe,Muhanga,Musanze,Ngoma,Ngororero,Nyabihu,Nyagatare,Nyamagabe,Nyamasheke,Nyanza,Nyarugenge,Nyaruguru,Rubavu,Ruhango,Rulindo,Rusizi,Rutsiro,Rwamagana,project
internal_for_dev2,"","","", , , , , , , ,"","","","","","","", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Swiss Development Cooperation,Ngo,"",Axe d’intervention 1 : Renforcer la gestion des mutuelles de santé    Axe d’intervention 2 :Appuyer (assistance technique) les districts sanitaires    Axe d’intervention 3: Améliorer la qualité des soins pour le couple mère – enfant     Axe d’intervention 4 : Promouvoir la santé des jeunes (14-25 ans), , , , , , , ,"","","",702790.0,643240.0,2010-01-01,2012-12-31,Swiss Development Cooperation, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PSP
Swiss Development Cooperation,Ngo,"",Services Swiss TPH headquarters (implementing partner year 2010 only), , , , , , , ,"","","",85000.0,"","","", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PSP
Swiss Development Cooperation,Ngo,"",Project implementation unit (long-term expert; short-term experts; local support), , , , , , , ,"","","",311000.0,"","","", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PSP
Access Project,Ngo,"",Mapping of the priority neglected tropical diseases.    Mass deworming countrywide twice a year    Monitoring for Soil transmitted helminthes and schistosomiasis and IEC andCommunity mobilisation   , , , , , , , ,"","","","","","","",Access Project, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,NTD Program
Access Project,Ngo,"",Mapping of the priority neglected tropical diseases.    Mass deworming countrywide twice a year    Monitoring for Soil transmitted helminthes and schistosomiasis and IEC andCommunity mobilisation   , , , , , , , ,"","","","","","","",Access Project, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,NTD Program
Tulane University,Ngo,"","", , , , , , , ,"","","",1356827.0,"",2009-12-07,2011-09-29,University of Colorado, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Improving PH Capacity in Rwanda
Tulane University,Ngo,"","", , , , , , , ,"","","",4359100.0,2604259.0,"","", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Improving PH Capacity in Rwanda
Tulane University,Ngo,"","", , , , , , , ,"","","",468019.0,"",2008-10-01,2011-09-29,NURSPH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Improving PH Capacity in Rwanda
Tulane University,Ngo,"","", , , , , , , ,"","","",99880.0,"",2010-10-01,2011-09-29,NURSW, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Improving PH Capacity in Rwanda
Tulane University,Ngo,"","", , , , , , , ,"","","",2434373.0,"",2008-09-30,2013-09-29,Tulane University, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Improving PH Capacity in Rwanda
Management Sciences for Health (MSH),Ngo,"","", , , , , , , ,"","","","","","","", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Population Services International (PSI),Ngo,Training,Training 800 youth MARPS as peer educators   400 youth MARPs on condom demonstration   120 individuals trained in CT and STIs. , , , , ,yes, ,yes,"","","",216000.0,166000.0,2010-10-01,2011-06-30,Population Services International (PSI), , , ,yes, , , ,yes, , , , , , ,yes,yes, , , , , , , , , , , , , , ,CDC
Population Services International (PSI),Ngo,Interpersonal Communication,20000 youth MARPs reached with HIV prevention messages on abstinence   fidelity and condom use, , , , ,yes, ,yes,"","","",100000.0,100000.0,2010-10-01,2011-06-30,Population Services International (PSI), , , ,yes, , , ,yes, , , , , , ,yes,yes, , , , , , , , , , , , , , ,CDC
Population Services International (PSI),Ngo,Voluntary Counseling and Testing ,VCT services delivered at youth centres through fixed and mobile approaches to 30800 youth MARPs. , ,yes,yes, ,yes, ,yes,"","","",616000.0,616000.0,2010-07-01,2011-06-30,Population Services International (PSI), , , ,yes, , , ,yes, , , , , , ,yes,yes, , , , , , , , , , , , , , ,CDC
Population Services International (PSI),Ngo,Voluntary Counseling and Testing ,20000 MARPs tested for HIV ,yes,yes,yes, ,yes, ,yes,"","","",400000.0,400000.0,2010-07-01,2011-06-30,Population Services International (PSI), , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,BCSM 
Population Services International (PSI),Ngo,Training ,30 individuals trained in VCT , , , , , , , ,"","","",9000.0,9000.0,2010-07-01,2011-06-30,Population Services International (PSI), , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,BCSM 
Population Services International (PSI),Ngo,Voluntary Counseling and Testing  ,8000 individuals tested for HIV , , , , , , , ,"","","",160000.0,160000.0,2010-07-01,2011-07-01,Population Services International (PSI), , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,DOD
Population Services International (PSI),Ngo,Training ,30 individuals trained  in VCT and 200individuals from military anti AIDS clubs trained in peer education, , , , , , , ,"","","",69000.0,69000.0,2010-07-01,2011-06-30,Population Services International (PSI), , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,DOD
EGPAF,Ngo,"",Support for HCs in the Gaitsibo District. , , , , , , , ,"","","",1908368.0,"","","",District of Gatsibo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,HIV Clinical Services
Drew Cares,Ngo,"",The major goals of this project are to strengthen the capacity of the Rwandan Defense Forces to deliver HIV treatment and care services   through training   the addition of psychosocial services and personnel   and the development of a mobile treatment and care unit.  , , ,yes, , , , ,"","","",1844175.0,1530127.69,2010-06-01,2011-05-18,Drew Cares, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,DOD
Drew Cares,Ngo,"",The major goals of this project are to strengthen the capacity of the Rwandan Defense Forces to deliver HIV treatment and care services   through training   the addition of psychosocial services and personnel   and the development of a mobile treatment and care unit.  , , ,yes, , , , ,"","","",1844175.0,1530127.69,2010-06-01,2011-05-18,Drew Cares, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,HIV Treatment and Care in the Rwandan Defense Forces
internal_for_dev2,"","","", , , , , , , ,"","","","","","","",KAMONYI Dispensary | Kamonyi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
internal_for_dev2,"","","", , , , , , , ,"","","","","","","",Nyanza Health Center | Nyanza, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
internal_for_dev2,"","","", , , , , , , ,"","","","","","","",Masaka Health Center | Kicukiro, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
internal_for_dev2,"","","", , , , , , , ,"","","","","","","",Muhima Dispensary | Nyarugenge, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
internal_for_dev2,"","","", , , , , , , ,"","","",103403.0,76878.07,"","", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
internal_for_dev2,"","","", , , , , , , ,"","","",109642.19,67760.63,"","", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
