id,activity_id,code_id,amount,type,percentage,cached_amount,sum_of_children,created_at,updated_at,cached_amount_in_usd
237,972,1691,,CodingBudgetCostCategorization,100,49255,0,,2011-01-31 22:58:33.010983,49255
261,973,1470,,CodingBudget,100,1157,0,,2011-01-31 22:58:33.079435,1157
263,973,1692,,CodingBudgetCostCategorization,100,1157,0,,2011-01-31 22:58:33.124105,1157
279,972,1470,,CodingBudget,100,49255,0,,2011-01-31 22:58:33.422094,49255
282,974,1470,,CodingBudget,100,23780,0,,2011-01-31 22:58:33.473284,23780
283,974,1694,,CodingBudgetCostCategorization,100,23780,0,,2011-01-31 22:58:33.513225,23780
285,974,1694,,CodingSpendCostCategorization,100,198386,0,,2011-01-31 22:58:33.528472,198386
293,975,1708,,CodingBudgetCostCategorization,100,11460,0,,2011-01-31 22:58:33.91572,11460
302,981,1683,,CodingSpend,14,71254.82,0,,2011-01-31 22:58:33.95407,71254.82
303,981,1673,,CodingSpend,30,152688.9,0,,2011-01-31 22:58:33.990022,152688.9
304,981,1684,,CodingSpend,1,5089.63,0,,2011-01-31 22:58:34.003177,5089.63
305,981,1688,,CodingSpend,24,122151.12,0,,2011-01-31 22:58:34.025008,122151.12
306,981,1689,,CodingSpend,43,218854.09,0,,2011-01-31 22:58:34.036796,218854.09
307,981,1690,,CodingSpend,3,15268.89,0,,2011-01-31 22:58:34.06847,15268.89
308,981,1682,,CodingSpend,70,356274.1,432618.55,,2011-01-31 22:58:34.081672,356274.1
83969,7372,1168,383278453.0,CodingBudget,,383278453.0,0.0,2011-05-19 07:20:39.374308,2011-07-01 10:11:57.542875,660824.907070669
83968,7372,1175,1957046969.0,CodingBudget,,1957046969.0,0.0,2011-05-19 07:20:39.370157,2011-07-01 10:11:57.583974,3374218.85133303
83966,7372,1182,1196306162.0,CodingBudget,,1196306162.0,0.0,2011-05-19 07:20:39.360016,2011-07-01 10:11:57.594828,2062596.79390774
83967,7372,1188,302530555.0,CodingBudget,,302530555.0,0.0,2011-05-19 07:20:39.365176,2011-07-01 10:11:57.605214,521604.395783535
83970,7372,1195,36574631.0,CodingBudget,,36574631.0,0.0,2011-05-19 07:20:39.378228,2011-07-01 10:11:57.657326,63059.7074856149
627,909,1488,,CodingSpend,100,427339,0,,2011-01-31 22:58:34.567658,427339
636,907,1488,,CodingBudget,100,1356827,0,,2011-01-31 22:58:34.587482,1356827
828,1431,1167,,CodingBudget,100,73522,0,,2011-01-31 22:58:34.692484,73522
861,1434,1315,,CodingBudget,90,14589.9,0,,2011-01-31 22:58:34.705077,14589.9
862,1434,1336,,CodingBudget,5,810.55,0,,2011-01-31 22:58:34.719437,810.55
863,1434,1363,,CodingBudget,5,810.55,0,,2011-01-31 22:58:34.74758,810.55
97466,9912,1596,,CodingSpendDistrict,33.0,0.0,0.0,2011-07-13 18:30:12.709056,2011-01-31 23:01:52.441867,0.0
923,908,1673,356937,CodingSpend,,356937,0,,2011-01-31 22:58:34.786669,356937
924,908,1682,284475,CodingSpend,,284475,0,,2011-01-31 22:58:34.837614,284475
954,1441,1315,,CodingBudget,49,65359.63,0,,2011-01-31 22:58:34.865582,65359.63
955,1441,1292,,CodingBudget,3,4001.61,0,,2011-01-31 22:58:34.878269,4001.61
956,1441,1483,,CodingBudget,3,4001.61,0,,2011-01-31 22:58:34.901594,4001.61
957,1441,1378,,CodingBudget,3,4001.61,0,,2011-01-31 22:58:34.914304,4001.61
958,1441,1459,,CodingBudget,23,30679.01,0,,2011-01-31 22:58:34.941059,30679.01
959,1441,1361,,CodingBudget,3,4001.61,0,,2011-01-31 22:58:34.986073,4001.61
960,1441,1362,,CodingBudget,3,4001.61,0,,2011-01-31 22:58:34.999654,4001.61
97467,9912,1585,,CodingSpendDistrict,33.0,0.0,0.0,2011-07-13 18:30:12.710967,2011-01-31 23:01:52.489766,0.0
97468,9912,1577,,CodingSpendDistrict,34.0,0.0,0.0,2011-07-13 18:30:12.713021,2011-01-31 23:01:52.501283,0.0
961,1441,1336,,CodingBudget,3,4001.61,0,,2011-01-31 22:58:35.011833,4001.61
962,1441,1364,,CodingBudget,2,2667.74,0,,2011-01-31 22:58:35.024168,2667.74
963,1441,1167,,CodingBudget,5,6669.35,0,,2011-01-31 22:58:35.038242,6669.35
964,1441,1356,,CodingBudget,3,4001.61,0,,2011-01-31 22:58:35.054468,4001.61
967,1443,1315,,CodingBudget,50,30000,0,,2011-01-31 22:58:35.084251,30000
968,1443,1292,,CodingBudget,3,1800,0,,2011-01-31 22:58:35.098405,1800
969,1443,1483,,CodingBudget,3,1800,0,,2011-01-31 22:58:35.120747,1800
970,1443,1378,,CodingBudget,3,1800,0,,2011-01-31 22:58:35.135325,1800
971,1443,1459,,CodingBudget,23,13800,0,,2011-01-31 22:58:35.147605,13800
972,1443,1361,,CodingBudget,3,1800,0,,2011-01-31 22:58:35.160738,1800
973,1443,1362,,CodingBudget,3,1800,0,,2011-01-31 22:58:35.173731,1800
974,1443,1336,,CodingBudget,3,1800,0,,2011-01-31 22:58:35.186823,1800
975,1443,1167,,CodingBudget,6,3600,0,,2011-01-31 22:58:35.199916,3600
976,1443,1356,,CodingBudget,3,1800,0,,2011-01-31 22:58:35.213956,1800
1054,1452,1167,,CodingBudget,100,35000,0,,2011-01-31 22:58:35.720504,35000
83973,7372,1714,,CodingBudgetCostCategorization,100.0,3875736770.0,0.0,2011-05-19 07:22:39.339805,2011-07-01 10:11:57.668033,6682304.65558058
990,1446,1243,,CodingBudget,3,2768.4,0,,2011-07-14 09:45:56.157282,2768.4
991,1446,1167,,CodingBudget,29,26761.2,0,,2011-07-14 09:45:57.365756,26761.2
989,1446,1459,,CodingBudget,68,62750.4,0,,2011-07-14 09:45:58.266118,62750.4
1864,1475,1673,,CodingBudget,100,1728740,0,,2011-01-31 22:58:36.478941,1728740
1938,1477,1483,,CodingBudget,70,66950.8,0,,2011-01-31 22:58:36.768974,66950.8
1939,1477,1167,,CodingBudget,30,28693.2,0,,2011-01-31 22:58:36.782435,28693.2
2422,1340,1683,,CodingBudget,14.8,30892.928,0,,2011-01-31 22:58:37.51561,30892.928
2423,1340,1673,,CodingBudget,8.32,17366.8352,0,,2011-01-31 22:58:37.529781,17366.8352
2425,1340,1688,,CodingBudget,50.6,105620.416,0,,2011-01-31 22:58:37.56051,105620.416
2426,1340,1689,,CodingBudget,24.2,50514.112,0,,2011-01-31 22:58:37.572224,50514.112
2427,1340,1690,,CodingBudget,0.4,834.944,0,,2011-01-31 22:58:37.584384,834.944
2459,1109,1209,,CodingBudget,52,68905.0544,0,,2011-01-31 22:58:37.614529,68905.0544
2460,1109,1483,,CodingBudget,24,31802.3328,0,,2011-01-31 22:58:37.626697,31802.3328
2461,1109,1167,,CodingBudget,24,31802.3328,0,,2011-01-31 22:58:37.660061,31802.3328
2469,1751,1356,,CodingBudget,100,40000,0,,2011-01-31 22:58:37.672609,40000
2470,1751,1586,,CodingBudgetDistrict,20,8000,0,,2011-01-31 22:58:37.70621,8000
2471,1751,1597,,CodingBudgetDistrict,10,4000,0,,2011-01-31 22:58:37.718781,4000
2472,1751,1589,,CodingBudgetDistrict,15,6000,0,,2011-01-31 22:58:37.731822,6000
2473,1751,1580,,CodingBudgetDistrict,19,7600,0,,2011-01-31 22:58:37.744119,7600
2474,1751,1593,,CodingBudgetDistrict,17,6800,0,,2011-01-31 22:58:37.774633,6800
2475,1751,1594,,CodingBudgetDistrict,19,7600,0,,2011-01-31 22:58:37.787283,7600
2476,1751,1691,,CodingBudgetCostCategorization,100,40000,0,,2011-01-31 22:58:37.799036,40000
2494,1748,1593,,CodingBudgetDistrict,44,2311.76,0,,2011-01-31 22:58:38.003608,2311.76
2495,1748,1594,,CodingBudgetDistrict,56,2942.24,0,,2011-01-31 22:58:38.017654,2942.24
2496,1748,1709,,CodingBudgetCostCategorization,100,5254,0,,2011-01-31 22:58:38.029152,5254
2500,1748,1477,,CodingSpend,65,0,0,,2011-02-03 18:07:17,0
2513,1296,1581,,CodingBudgetDistrict,34,6897.24,0,,2011-07-13 02:03:19.294472,9594.750564
2516,1296,1707,,CodingBudgetCostCategorization,100,20286,20286,,2011-07-13 02:03:19.313105,28219.8546
2732,1770,1597,,CodingSpendDistrict,39,3907.02,0,,2011-01-31 22:58:39.860104,3907.02
2733,1770,1580,,CodingSpendDistrict,61,6110.98,0,,2011-01-31 22:58:39.875243,6110.98
2740,1522,1243,,CodingBudget,100,3492,0,,2011-01-31 22:58:39.950909,3492
2741,1522,1597,,CodingBudgetDistrict,71,2479.32,0,,2011-01-31 22:58:39.963631,2479.32
2742,1522,1580,,CodingBudgetDistrict,29,1012.68,0,,2011-01-31 22:58:40.016349,1012.68
2743,1522,1694,,CodingBudgetCostCategorization,100,3492,0,,2011-01-31 22:58:40.064221,3492
2751,1519,1597,,CodingBudgetDistrict,55,4583.7,0,,2011-01-31 22:58:40.158503,4583.7
2752,1519,1580,,CodingBudgetDistrict,45,3750.3,0,,2011-01-31 22:58:40.191759,3750.3
2759,1519,1181,,CodingSpend,65,2848.3,0,,2011-01-31 22:58:40.525325,2848.3
2760,1519,1177,,CodingSpend,35,1533.7,0,,2011-01-31 22:58:40.538572,1533.7
2764,1527,1480,,CodingBudget,35,1011.5,0,,2011-01-31 22:58:40.554891,1011.5
2765,1527,1482,,CodingBudget,50,1445,0,,2011-01-31 22:58:40.569823,1445
2766,1527,1484,,CodingBudget,15,433.5,0,,2011-01-31 22:58:40.585589,433.5
2771,1527,1692,,CodingBudgetCostCategorization,100,2890,0,,2011-01-31 22:58:40.621355,2890
2789,1524,1712,,CodingSpendCostCategorization,100,34977,0,,2011-01-31 22:58:40.758011,34977
2793,1520,1708,,CodingBudgetCostCategorization,100,4000,0,,2011-01-31 22:58:40.771492,4000
2794,1520,1206,,CodingSpend,65,2715.05,0,,2011-01-31 22:58:40.784015,2715.05
2795,1520,1196,,CodingSpend,35,1461.95,0,,2011-01-31 22:58:40.796115,1461.95
2801,1519,1708,,CodingBudgetCostCategorization,100,8334,0,,2011-01-31 22:58:40.850761,8334
2809,1528,1356,,CodingBudget,0,0,0,,2011-02-03 17:59:06,0
2813,1528,1691,,CodingSpendCostCategorization,100,26663,0,,2011-01-31 22:58:40.980084,26663
2817,1729,1597,,CodingBudgetDistrict,50,56379.5,0,,2011-01-31 22:58:41.007548,56379.5
2818,1729,1580,,CodingBudgetDistrict,50,56379.5,0,,2011-01-31 22:58:41.019815,56379.5
2837,1687,1597,,CodingBudgetDistrict,38,7337.04,0,,2011-01-31 22:58:41.065152,7337.04
2838,1687,1580,,CodingBudgetDistrict,62,11970.96,0,,2011-01-31 22:58:41.112434,11970.96
