Butaro HD District Hospital | Burera,31573,18845
Butaro Health Center | Burera,526,314
Kirambo Health Center | Burera,526,314
Kinyababa Health Center | Burera,526,314
Kivuye Health Center | Burera,526,314
Kinoni Health Center | Burera,526,314
Gitare Health Center | Burera,526,314
Mucaca Health Center | Burera,526,314
Rusasa Health Center | Burera,526,314
Nyamugali Health Center | Burera,526,314
Ruhunde Health Center | Burera,526,314
Rwerere Health Center | Burera,526,314
Bungwe Health Center | Burera,526,314
Ntaruka Health Center | Burera,526,314
Cyanika (BURERA) Health Center | Burera,526,314
Gahunga Health Center | Burera,526,314
Rwinkwavu HD District Hospital | Kayonza,73671,43971
Ndego Health Center | Kayonza,9209,5496
Rwinkwavu Health Center | Kayonza,9209,5496
