Butaro HD District Hospital | Burera,7796,6535
Butaro Health Center | Burera,7796,6535
Kirambo Health Center | Burera,7796,6535
Kinyababa Health Center | Burera,7796,6535
Kivuye Health Center | Burera,7796,6535
Kinoni Health Center | Burera,7796,6535
Gitare Health Center | Burera,7796,6535
Mucaca Health Center | Burera,7796,6535
Rusasa Health Center | Burera,7796,6535
Nyamugali Health Center | Burera,7796,6535
Ruhunde Health Center | Burera,7796,6535
Rwerere Health Center | Burera,7796,6535
Bungwe Health Center | Burera,7796,6535
Ntaruka Health Center | Burera,7796,6535
Cyanika (BURERA) Health Center | Burera,7796,6535
Gahunga Health Center | Burera,7796,6535
Rwinkwavu HD District Hospital | Kayonza,87221,73118
Ndego Health Center | Kayonza,87221,73118
Rwinkwavu Health Center | Kayonza,87221,73118
Kirehe HD District Hospital | Kirehe,37974,31834
Kirehe Health Center | Kirehe,37974,31834
Mulindi Health Center | Kirehe,37974,31834
Nyarubuye (KIREHE) Health Center | Kirehe,37974,31834
Rusumo Health Center | Kirehe,37974,31834
