Butaro HD District Hospital | Burera,8116 ,7918 ,
Butaro Health Center | Burera,135 ,132 ,
Kirambo Health Center | Burera,135 ,132 ,
Kinyababa Health Center | Burera,135 ,132 ,
Kivuye Health Center | Burera,135 ,132 ,
Kinoni Health Center | Burera,135 ,132 ,
Gitare Health Center | Burera,135 ,132 ,
Mucaca Health Center | Burera,135 ,132 ,
Rusasa Health Center | Burera,135 ,132 ,
Nyamugali Health Center | Burera,135 ,132 ,
Ruhunde Health Center | Burera,135 ,132 ,
Rwerere Health Center | Burera,135 ,132 ,
Bungwe Health Center | Burera,135 ,132 ,
Ntaruka Health Center | Burera,135 ,132 ,
Cyanika (BURERA) Health Center | Burera,135 ,132 ,
Gahunga Health Center | Burera,135 ,132 ,
Rwinkwavu HD District Hospital | Kayonza,13152 ,12831 ,
Ndego Health Center | Kayonza,1644 ,1604 ,
Rwinkwavu Health Center | Kayonza,1644 ,1604 ,
Kirehe HD District Hospital | Kirehe,11278 ,11003 ,
Kirehe Health Center | Kirehe,705 ,688 ,
Mulindi Health Center | Kirehe,705 ,688 ,
Nyarubuye (KIREHE) Health Center | Kirehe,705 ,688 ,
Rusumo Health Center | Kirehe,705 ,688 ,
,,,
