"Project ID","UFS","FA","Comment",
223,"USG","AABB",,
420,"US Government/USAID","Abt Associates",,
107,"Donor","ICAP",,
135,"Donor","ICAP",,
290,"Donor","ACM - Atelier Central de Maintenance  / Central Maintenance Workshop","dalibor to split",
179,"Chen Yet-Sen Family Foundation","Adaptive Eyewear",,
220,"Catholic Relief Services (CRS)","AFRICARE",,
543,"AIDS Healthcare Foundation","AIDS Healthcare Foundation",,
590,"AIDS Healthcare Foundation","AIDS Healthcare Foundation",,
591,"AIDS Healthcare Foundation","AIDS Healthcare Foundation",,
672,"GREAT LAKES HIV/AIDS INITIATIVE (GLIA)","American Refugee Committee",,
666,"UNHCR","American Refugee Committee",,
655,"USG","American Refugee Committee",,
475,"US Government/CDC","American Society for Clinical Pathology",,
476,"US Government/CDC","American Society for Microbiology",,
600,"AVSI","AVSI",,
599,"USG","AVSI",,
191,"BTC/CTB","BTC/CTB",,
411,"MINECOFIN","BUTARE CHU National Hospital | Huye","dalibor to split",
414,"German cooperation (GTZ, KfW, DED, CIM, InWent)","BUTARE CHU National Hospital | Huye","dalibor to split",
415,"MINECOFIN","Ministry of Health","dalibor to split",
401,"Belgian Government","BUTARE CHU National Hospital | Huye","dalibor to split",
532,"MINECOFIN","Ministry of Health","dalibor to split",
639,"Global Fund for AIDS, TB and Malaria","CAMERWA - Central d'achat des medicaments du Rwanda / Central Drug Purchasing Agency for Rwanda",,
641,"Global Fund for AIDS, TB and Malaria","CAMERWA - Central d'achat des medicaments du Rwanda / Central Drug Purchasing Agency for Rwanda",,
721,"Global Fund for AIDS, TB and Malaria","CAMERWA - Central d'achat des medicaments du Rwanda / Central Drug Purchasing Agency for Rwanda",,
680,"CAMERWA - Central d'achat des medicaments du Rwanda / Central Drug Purchasing Agency for Rwanda","CAMERWA - Central d'achat des medicaments du Rwanda / Central Drug Purchasing Agency for Rwanda","dalibor to split",
682,"Global Fund for AIDS, TB and Malaria","CAMERWA - Central d'achat des medicaments du Rwanda / Central Drug Purchasing Agency for Rwanda",,
683,"Global Fund for AIDS, TB and Malaria","CAMERWA - Central d'achat des medicaments du Rwanda / Central Drug Purchasing Agency for Rwanda",,
684,"CAMERWA - Central d'achat des medicaments du Rwanda / Central Drug Purchasing Agency for Rwanda","CAMERWA - Central d'achat des medicaments du Rwanda / Central Drug Purchasing Agency for Rwanda","needs to be fixed; also dalibor split",
633,"Global Fund for AIDS, TB and Malaria","CAMERWA - Central d'achat des medicaments du Rwanda / Central Drug Purchasing Agency for Rwanda",,
445,"CARAES Ndera National Hospital | Gasabo","CARAES Ndera National Hospital | Gasabo",,
446,"Brothers of Charity","CARAES Ndera National Hospital | Gasabo",,
448,"MINECOFIN","Ministry of Health","dalibor to split",
449,"MINECOFIN","Ministry of Health",,
451,"Brothers of Charity","CARAES Ndera National Hospital | Gasabo",,
452,"MINECOFIN","Ministry of Health",,
453,"MINECOFIN","Ministry of Health",,
455,"CARAES Ndera National Hospital | Gasabo","CARAES Ndera National Hospital | Gasabo",,
447,"Brothers of Charity","CARAES Ndera National Hospital | Gasabo",,
566,"CARAES Ndera National Hospital | Gasabo","CARAES Ndera National Hospital | Gasabo",,
457,"European Commission","CARE",,
459,"Reproductive Health Trust Fund","CARE",,
458,"Sturback Coffee Company","CARE",,
193,"USG","Catholic Relief Services (CRS)",,
465,"USG","Catholic Relief Services (CRS)",,
466,"USG","Catholic Relief Services (CRS)",,
464,"USG","Catholic Relief Services (CRS)","dalibor to split",
195,"Donor","CCHIPs","is WWHPS actually a funder?",
196,"Donor","CCHIPs",,
197,"Donor","CCHIPs",,
198,"Donor","CCHIPs",,
199,"Donor","CCHIPs",,
146,"US Government/USAID","CHF",,
509,"BTC/CTB","CHK/CHUK National Hospital | Nyarugenge",,
510,"BTC/CTB","CHK/CHUK National Hospital | Nyarugenge",,
511,"BTC/CTB","CHK/CHUK National Hospital | Nyarugenge",,
515,"BTC/CTB","CHK/CHUK National Hospital | Nyarugenge",,
520,"EDCTP","CHK/CHUK National Hospital | Nyarugenge",,
525,"US Government/USAID","Engender Health",,
526,"US Government/USAID","Engender Health",,
516,"Global Fund for AIDS, TB and Malaria","CHK/CHUK National Hospital | Nyarugenge",,
517,"Global Fund for AIDS, TB and Malaria","CHK/CHUK National Hospital | Nyarugenge",,
518,"Donor","ICAP",,
519,"Donor","ICAP",,
527,"Donor","ICAP",,
524,"IMT","CHK/CHUK National Hospital | Nyarugenge",,
412,"CHK/CHUK National Hospital | Nyarugenge","CHK/CHUK National Hospital | Nyarugenge",,
521,"CHK/CHUK National Hospital | Nyarugenge","CHK/CHUK National Hospital | Nyarugenge",,
522,"MIDA","CHK/CHUK National Hospital | Nyarugenge",,
289,"MINECOFIN","CHK/CHUK National Hospital | Nyarugenge",,
343,"MINECOFIN","CHK/CHUK National Hospital | Nyarugenge",,
348,"MINECOFIN","CHK/CHUK National Hospital | Nyarugenge",,
351,"MINECOFIN","CHK/CHUK National Hospital | Nyarugenge",,
389,"MINECOFIN","Ministry of Health",,
523,"MINECOFIN","Ministry of Health",,
558,"Projet San Francisco","CHK/CHUK National Hospital | Nyarugenge",,
557,"MINECOFIN","Ministry of Health",,
559,"UNICEF","CHK/CHUK National Hospital | Nyarugenge",,
281,"Clinton Health Access Initiative (CHAI)","Clinton Health Access Initiative (CHAI)",,
282,"Clinton Health Access Initiative (CHAI)","Clinton Health Access Initiative (CHAI)",,
283,"Clinton Health Access Initiative (CHAI)","Clinton Health Access Initiative (CHAI)",,
286,"Clinton Health Access Initiative (CHAI)","Clinton Health Access Initiative (CHAI)",,
284,"Rockefeller Foundation","Clinton Health Access Initiative (CHAI)",,
285,"Rockefeller Foundation","Clinton Health Access Initiative (CHAI)",,
200,"US Government/CDC","CLSI",,
589,"GREAT LAKES HIV/AIDS INITIATIVE (GLIA)","CNLS - Commission National de Lutte contre le VIH-SIDA / National AIDS Commission",,
579,"MINECOFIN","Ministry of Health",,
687,"UNFEM","CNLS - Commission National de Lutte contre le VIH-SIDA / National AIDS Commission",,
587,"US Government/CDC","CNLS - Commission National de Lutte contre le VIH-SIDA / National AIDS Commission",,
597,"US Government/CDC","CNLS - Commission National de Lutte contre le VIH-SIDA / National AIDS Commission",,
272,"US Government/CDC","CNTS - Centre National de Transfusion Sanguine / National Blood Transfusion Centre",,
701,"Global Fund for AIDS, TB and Malaria","Ministry of Health",,
615,"MINECOFIN","Ministry of Health","?",
692,"Compassion Int'l","Compassion International Rwanda",,
699,"Compassion Int'l","Compassion International Rwanda",,
700,"Compassion Int'l","Compassion International Rwanda",,
183,"Scottish Government","Concern",,
181,"US Government/USAID","Concern",,
180,"Concern","Concern",,
182,"US Government/USAID","Concern",,
612,"MINECOFIN","Ministry of Health","dalibor to split",
122,"US Government/DoD","Drew Cares",,
482,"USG","Educational Development Center",,
166,"Catholic Relief Services (CRS)","EGPAF",,
167,"World Food Programme","EGPAF",,
120,"US Government/USAID","EGPAF",,
468,"US Government/USAID","Engender Health",,
269,"Anne Duffey Community Foundation of New Jersey","Family Health International (FHI)",,
462,"US Government/CDC","Family Health International (FHI)",,
461,"Durham Technical Community College (DTCC)","Family Health International (FHI)",,
460,"International Resources Group (IRG)","Family Health International (FHI)",,
264,"US Government/USAID","Family Health International (FHI)",,
265,"US Government/USAID","Family Health International (FHI)",,
266,"US Government/USAID","Family Health International (FHI)",,
267,"US Government/USAID","Family Health International (FHI)",,
268,"US Government/USAID","Family Health International (FHI)",,
463,"US Government/USAID","Family Health International (FHI)",,
144,"US Government/USAID","Futures Group",,
