"id","parent_id","short_display","description"
1,,"Drugs, Commodities & Consumables","All drugs, commodities (condoms, bed nets, etc) and lab consumables"
2,,"Communication & Advertising","Leaflets, flyers, billboards, SMS campaigns, etc. For example, flyers for behavior change communication programs"
3,,"Food Supplies","Nutritional, therapeutic feeding (infants, malnourished patients), basic food packages, inpatient feeding, demonstration kitchens"
4,,"Infrastructure","Investment, maintenance in buildings, water sources (for whatever use), energy sources (for whatever use).  Rehabilitation of existing facilities."
5,,"Investment and maintenance of ICT equipment (computers, mobile phones, etc)",
6,,"Medical Equipment","Investment, maintenance, spare parts of medical equipment"
7,,"Vehicles","Investment, maintenance, fuel"
"z",,"Direct Salaries / Labor Costs","Of staff, healthcare workers, secondments to the MOH, district positions, excluding top-ups or other incentives offered to personnel"
"z81","z","In country staff","Staff employed by your organization directly"
811,"z81","Technical Assistance","Staff that formulate plans, policies, advise officials, conduct assessments, do oversight visits, etc. This definition needs to be refined."
812,"z81","Monitoring and Evaluation","if an organization explicitly allocates m&e staff salaries on an activity level, they may put this expense here"
813,"z81","Service Provision / Program Implementation","Staff delivering commodities, participating in data collection, working in the field doing service provision, \etc. This definition needs to be flushed out / refined"
"z82","z","External technical assistance","Compensation for short term consultants associated with bringing TA to Rwanda for a time-limited period and for a specific activity, e.g. national or district-level capacity building, policy support, site supervision, etc"
821,"z82","Technical Assistance","Staff that formulate plans, policies, advise officials, conduct assessments, do oversight visits, etc. Includes costs for travel."
822,"z82","Monitoring and Evaluation","if an organization explicitly allocates m&e staff salaries on an activity level, they may put this expense here"
823,"z82","Service Provision / Program Implementation","Staff delivering commodities, participating in data collection, working in the field doing service provision, \etc. This definition needs to be flushed out / refined"
"y",,"Capacity building","Workshops, onsite training, offsite training, including transport and per diems"
91,"y","In Service",
92,"y","Pre Service","Workshop costs and transport, onsite and offsite training and per diems, funding directed to professional schools"
"x",,"Incentives","Top-ups or other incentives offered to government or other direct health system personnel"
101,"x","CHW","All investment or operational costs to support CHW system, not including training"
102,"x","Non-CHW","Top-ups or other incentives offered to government or other direct health system personnel, not including CHWs"

