PARENT,CODE,Code Level,Full name,Description,NHA Subaccount,CH?,NHA Code
,1,Programme Area,Child Health
1,11,Sub-Programme Area,Maternal & Newborn Health
11,111,NHA Activity 1,Inpatient curative care,,RH,,HC.1.1
111,1111,NHA Activity 2,Deliveries ,,RH,,HC.1.1.1
1111,11112,NHA Activity 2,"Family planning services (incl. sterilizations, deliveries) (IP)",,RH,,HC.1.1.2
1111,11113,NHA Activity 2,Other RH services (IP),,RH,,HC.1.1.3
111,1112,NHA Activity 1,Outpatient curative care ,,RH,,HC.1.3
1112,11121,NHA Activity 2,Antenatal Care,,RH,,HC.1.3.1.1
1112,11122,NHA Activity 2,Postnatal Care,,RH,,HC.1.3.1.2
11,111,NHA Activity 1,Preventive Programs,,RH,,HC.6.1.1
11,111,NHA Activity 1,Capital Expenditures on Equipment,,RH,,HCR.1
1,12,Sub-Programme Area,Management of Childhood Illnesses
12,121,Component Area,IMNCI (integrated services)
121,1211,NHA Activity 1,Inpatient curative care,"Care of the newborn – clean cord care, newborn resuscitation, temperature management, case management of neonatal pneumonia and sepsis",,CH,HC.1.1.1
121,1212,NHA Activity 1,Outpatient curative care,Care of the newborn OP,,CH,HC.1.3.1
121,1213,NHA Activity 1,Preventive Programs,,,CH,HC.6.1.2
1213,12131,NHA Activity 2,Breastfeeding promotion,,,CH,HC.6.1.2.1
1213,12132,NHA Activity 2,Immunizations,,,CH,HC.6.1.2.2
1213,12133,NHA Activity 2,"Other preventive health services provided to children from 0 to less than 5 years, including prevention of injuries and violence",,,CH,HC.6.1.2.3
121,1214,NHA Activity 1,Capital Expenditures on Equipment,,,CH,HCR.1
12,122,Component Area,Management of diarrhoea
122,1221,NHA Activity 1,Inpatient curative care,"Management and care of childhood illness – for children aged 29 days - 59 months. (e.g. IV for dehydrated children, management of neonatal infections, severe malnutrition, and severe pneumonia)",,CH,HC.1.1.2
122,1222,NHA Activity 1,Outpatient curative care,"Management of childhood illness – for children aged 29 days - 59 months. (e.g. treatment of malaria, management of neonatal infections, malnutrition, pneumonia and diarrhea)",,CH,HC.1.3.2
122,1223,NHA Activity 1,Preventive Programs,"Other preventive health services provided to children from 0 to less than 5 years, including prevention of injuries and violence",,CH,HC.6.1.2.3
122,1224,NHA Activity 1,Capital Expenditures on Equipment,,,CH,HCR.1
12,123,Component Area,ARI / pneumonia
123,1231,NHA Activity 1,Inpatient curative care,"Management and care of childhood illness – for children aged 29 days - 59 months. (e.g. IV for dehydrated children, management of neonatal infections, severe malnutrition, and severe pneumonia)",,CH,HC.1.1.2
123,1232,NHA Activity 1,Outpatient curative care,"Management of childhood illness – for children aged 29 days - 59 months. (e.g. treatment of malaria, management of neonatal infections, malnutrition, pneumonia and diarrhea)",,CH,HC.1.3.2
123,1233,NHA Activity 1,Preventive Programs,"Other preventive health services provided to children from 0 to less than 5 years, including prevention of injuries and violence",,CH,HC.6.1.2.3
123,1234,NHA Activity 1,Capital Expenditures on Equipment,,,CH,HCR.1
12,124,Component Area,Malaria
124,1241,NHA Activity 1,Inpatient curative care,"Management and care of childhood illness – for children aged 29 days - 59 months. (e.g. IV for dehydrated children, management of neonatal infections, severe malnutrition, and severe pneumonia)",,CH,HC.1.1.2
124,1242,NHA Activity 1,Outpatient curative care,"Management of childhood illness – for children aged 29 days - 59 months. (e.g. treatment of malaria, management of neonatal infections, malnutrition, pneumonia and diarrhea)",,CH,HC.1.3.2
124,1243,NHA Activity 1,Preventive Programs,Prevention of communicable disease,,CH,HC.6.3
124,1244,NHA Activity 1,Capital Expenditures on Equipment,,,CH,HCR.1
12,125,Component Area,PMTCT
125,1251,NHA Activity 1,PMTCT Programs,,HIV,CH,HC.6.1.1.4
125,1252,NHA Activity 1,Capital Expenditures on Equipment,,HIV,CH,HCR.1
