"acronym","name","raw_type","old_type"
,"Ministry of Medical Services (MOMS)","Government",
,"MOMS Technical Planning","Government",
,"MOMS Clinical Services","Government",
,"MOMS Clinical Services: Internal Medicine","Government",
,"MOMS Clinical Services: Mental Health","Government",
,"MOMS Clinical Services: Paediatrics","Government",
,"MOMS Clinical Services: Clinical Nutrition","Government",
,"MOMS Clinical Services: HIV/AIDS & STIs (NASCOP)","Government",
,"MOMS Nursing Services","Government",
,"MOMS Technical Admin Services","Government",
,"MOMS Technical Admin Services: Health Administration","Government",
,"MOMS Technical Admin Services: Medical Engineering","Government",
,"MOMS Technical Admin Services: HRH deployment & training","Government",
,"MOMS Technical Admin Services: HMIS","Government",
,"MOMS Surgical & Rehab Services","Government",
,"MOMS Surgical & Rehab Services: Surgical Services","Government",
,"MOMS Surgical & Rehab Services: Obs/Gyn","Government",
,"MOMS Surgical & Rehab Services: Dental","Government",
,"MOMS Surgical & Rehab Services: Clinical Services","Government",
,"MOMS Surgical & Rehab Services: Disaster Management","Government",
,"MOMS Surgical & Rehab Services: Physiotherapy","Government",
,"MOMS Surgical & Rehab Services: Occupational Therapy","Government",
,"MOMS Surgical & Rehab Services: Orthopaedic Technology","Government",
,"MOMS Pharmaceutical Services","Government",
,"MOMS Pharmaceutical Services: Pharmaceutical Policy (KNPP)","Government",
,"MOMS Pharmaceutical Services: Essential Medicines & Supplies Management","Government",
,"MOMS Pharmaceutical Services: Clinical Pharmaceutical Services","Government",
,"MOMS Pharmaceutical Services: Medicine Regulation & Quality Assurance","Government",
,"MOMS Pharmaceutical Services: Pharmaceutical HRH","Government",
,"MOMS Pharmaceutical Services: Drugs Inspectorate","Government",
,"MOMS Diagnostic & Forensic Services","Government",
,"MOMS Diagnostic & Forensic Services: Medical Laboratories","Government",
,"MOMS Diagnostic & Forensic Services: Blood Transfusion Services","Government",
,"MOMS Diagnostic & Forensic Services: Forensic Services","Government",
,"MOMS Standards & Regulatory Services","Government",
,"MOMS Standards & Regulatory Services: Research & Development","Government",
,"MOMS Standards & Regulatory Services: Professional Development, e-health, alt medicine","Government",
,"MOMS Standards & Regulatory Services: Quality Assurance & Standards","Government",
,"MOMS Regulatory Bodies","Government",
,"MOMS Regulatory Bodies: Pharmacy & Poisons Board","Government",
,"MOMS Regulatory Bodies: Clinical Council","Government",
,"MOMS Regulatory Bodies: Nursing Council","Government",
,"MOMS Regulatory Bodies: KMLTTB","Government",
,"MOMS Regulatory Bodies: Medical Practitioners & Dentist Board","Government",
,"MOMS Administration","Government",
,"MOMS Administration: Procurement","Government",
,"MOMS Administration: Finance","Government",
,"MOMS Administration: Accounts","Government",
,"MOMS Administration: HRH Management","Government",
,"MOMS Administration: Planning & Policy","Government",
,"MOMS Administration: ICT, Public Relations, HRH Development","Government",
,"MOMS Parastatals","Government",
,"MOMS Parastatals: NHIF (National Health Insurance Fund)","Government",
,"MOMS Parastatals: KMTC (Kenya Medical Training Colleges)","Government",
,"MOMS Parastatals: KEMSA (Kenya Medical Supplies Agency)","Government",
,"MOMS Parastatals: KNH (Kenyatta National Hospital)","Government",
,"MOMS Parastatals: MTRH (Moi Training & Referral Hospital)","Government",
,"MINISTRY OF PUBLIC HEALTH & SANITATION (MOPHS)","Government",
,"MOPHS Disease Control","Government",
,"MOPHS Disease Control: Disease Surveillance & Response","Government",
,"MOPHS Disease Control: Non-Communicable Diseases","Government",
,"MOPHS Disease Control: Malaria Control","Government",
,"MOPHS Disease Control: AIDS/STI Control (NASCOP)","Government",
,"MOPHS Disease Control: TB, Leprosy & Lung Disease","Government",
,"MOPHS Disease Control: Vector-borne & Neglected Diseases","Government",
,"MOPHS Disease Control: National Public Health Laboratories","Government",
,"MOPHS Disease Control: Preventive Ophthalmic Services","Government",
,"MOPHS Disease Control: Government Chemist","Government",
,"MOPHS Family Health","Government",
,"MOPHS Family Health: Immunisation Services","Government",
,"MOPHS Family Health: Nutrition","Government",
,"MOPHS Family Health: Child & Adolescent Health","Government",
,"MOPHS Family Health: Reproductive Health","Government",
,"MOPHS Sanitation & Environmental Health","Government",
,"MOPHS Sanitation & Environmental Health: Sanitation","Government",
,"MOPHS Sanitation & Environmental Health: Food Quality & Safety","Government",
,"MOPHS Sanitation & Environmental Health: Port Health","Government",
,"MOPHS Sanitation & Environmental Health: Occupational Health","Government",
,"MOPHS Sanitation & Environmental Health: Water Safety","Government",
,"MOPHS Sanitation & Environmental Health: Pollution Control & Housing","Government",
,"MOPHS Sanitation & Environmental Health: Vector & Vermin Control","Government",
,"MOPHS Health Promotion","Government",
,"MOPHS Health Promotion: Health Communications & Social Marketing","Government",
,"MOPHS Health Promotion: Policy Advocacy & Strategic Alliances","Government",
,"MOPHS Health Promotion: Settings Programme","Government",
,"MOPHS Primary Health Services","Government",
,"MOPHS Primary Health Services: Health Facility Services","Government",
,"MOPHS Primary Health Services: Standards & Quality Assurance","Government",
,"MOPHS Primary Health Services: Commodities & Supplies","Government",
,"MOPHS Primary Health Services: Community Health Services","Government",
,"MOPHS Primary Health Services: Health Administration","Government",
,"MOPHS Technical Planning & Monitoring","Government",
,"MOPHS Technical Planning & Monitoring: Technical Planning","Government",
,"MOPHS Technical Planning & Monitoring: HMIS & Monitoring","Government",
,"MOPHS Technical Planning & Monitoring: Sector Coordination & Partnerships","Government",
,"MOPHS Technical Planning & Monitoring: Research Coordination & Reform Implementation","Government",
,"MOPHS Disaster Preparedness & Response","Government",
,"MOPHS International Health","Government",
,"MOPHS Administration","Government",
,"MOPHS Administration: Public Relations","Government",
,"MOPHS Administration: ICT","Government",
,"MOPHS Administration: Planning & Policy","Government",
,"MOPHS Administration: HRH Management","Government",
,"MOPHS Administration: HRH Development","Government",
,"MOPHS Administration: Finance","Government",
,"MOPHS Administration: Accounts","Government",
,"MOPHS Administration: Procurement","Government",
,"MOPHS Administration: General Admin","Government",
,"MOPHS Parastatals","Government",
,"MOPHS Parastatals: KEMRI (Kenya Medical Research Institute)","Government",
,"MOPHS Parastatals: Radiation Protection Board","Government",
,"DANIDA (Denmark)","Donor","BILATERAL AGENCIES"
,"DFID (UK)","Donor","BILATERAL AGENCIES"
,"FRANCE","Donor","BILATERAL AGENCIES"
,"GDC-GIZ (Germany)","Donor","BILATERAL AGENCIES"
,"GDC-KFW (Germany)","Donor","BILATERAL AGENCIES"
,"GDC-DED (Germany)","Donor","BILATERAL AGENCIES"
,"JICA (Japan)","Donor","BILATERAL AGENCIES"
,"NETHERLANDS ","Donor","BILATERAL AGENCIES"
,"USG-USAID (US)","Donor","BILATERAL AGENCIES"
,"USG-CDC (US)","Donor","BILATERAL AGENCIES"
,"USG-PEPFAR (US)","Donor","BILATERAL AGENCIES"
,"CLINTON Foundation","Donor","PRIVATE FOUNDATIONS"
,"GATES Foundation","Donor","PRIVATE FOUNDATIONS"
,"WELLCOME TRUST","Donor","PRIVATE FOUNDATIONS"
,"AFDB (African Dev Bank)","Donor","MULTILATERAL AGENCIES"
,"EU","Donor","MULTILATERAL AGENCIES"
,"UNAIDS","Donor","UN AGENCIES"
,"UNFPA","Donor","UN AGENCIES"
,"UNICEF","Donor","UN AGENCIES"
,"WFP","Donor","UN AGENCIES"
,"WHO","Donor","UN AGENCIES"
,"WORLD BANK","Donor","UN AGENCIES"
,"IFC (World Bank)","Donor","UN AGENCIES"
,"GFATM","Donor","GLOBAL FUNDING AGENCIES"
,"GAVI","Donor","GLOBAL FUNDING AGENCIES"
,"BADEA","Donor","OTHER DONOR AGENCES (no technical presence)"
,"BELGIUM","Donor","OTHER DONOR AGENCES (no technical presence)"
,"CHINA","Donor","OTHER DONOR AGENCES (no technical presence)"
,"KUWAIT","Donor","OTHER DONOR AGENCES (no technical presence)"
,"MEXICO","Donor","OTHER DONOR AGENCES (no technical presence)"
,"OPEC","Donor","OTHER DONOR AGENCES (no technical presence)"
,"SAUDI FUND","Donor","OTHER DONOR AGENCES (no technical presence)"
,"HENNET (Health NGO Network)","NGO","PRIVATE NOT-FOR-PROFIT"
,"CHAK (Church Health Assoc Kenya / Protestant)","NGO","PRIVATE NOT-FOR-PROFIT"
,"KEC-CS (Catholic Secretariat)","NGO","PRIVATE NOT-FOR-PROFIT"
,"SUPKEM (Muslim Supreme Council)","NGO","PRIVATE NOT-FOR-PROFIT"
,"Private Healthcare Providers Consortium","NGO","PRIVATE FOR-PROFIT"
,"KHF (Kenya Healthcare Federation, KEPSA)","NGO","PRIVATE FOR-PROFIT"
,"PPP-HK","NGO","MIXED PNFP-PFP"
"AA","Action Aid","NGO","INT"
"ADRA","Adventist Development Relief Agency","NGO","INT"
"AFYA","Afri Afya","NGO","LOC"
"ADEO","African Development and Emergency Organization","NGO","INT"
"APHRC","African Population and Health Research Centre","NGO","LOC"
"AKF","Aga Khan Foundation","NGO","INT"
"AMREF","AMREF African Medical Research Foundation","NGO","INT"
"APDK","Association for the Physically Disabled in Kenya","NGO","LOC"
"BN","BasicNeeds UK in Kenya","NGO","INT"
"BH","Beacon of Hope","NGO","INT"
