1,2,3,4,5,6,7,8,Simple Display,Description,Type,HSSP2 Strategic Objective,New HSSP2 Strat Obj (if changed),HSSP2 Strategic Program,New HSSP2 Strat Prog (if changed),Official (long) name,ID,,,,,,,,,,,,,,,,,,,,
Delivering Services@ Implementing Programs@ Conducting Research,,,,,,,,Delivering Services@ Implementing Programs@ Conducting Research,,Mtef,,,,,Delivering Services@ Implementing Programs@ Conducting Research,1268,,,,,,,,,,,,,,,,,,,,
,Programs and services to care for@ treat@ and control diseases,,,,,,,Programs and services to care for@ treat@ and control diseases,All spending to control or treat diseases@ excluding prevention. Includes research and training.,Mtef,,,,,06  QUALITY AND DEMAND FOR SERVICES IN THE CONTROL OF DISEASES,1269,,,,,,,,,,,,,,,,,,,,
,,Fight Against Malaria,,,,,,Fight Against Malaria,"Spending for the primary purpose of :
Managing malaria cases (parasitologically confirmed@ clinically diagnosed or unconfirmed acute febrile cases)
Providing support to malaria treatment activities
",Mtef,c. Treatment of diseases,,Quality Assurance,,01  FIGHT AGAINST MALARIA,1270,,,,,,,,,,,,,,,,,,,,
,,,Inpatient Care for Malaria,,,,,Inpatient Care for Malaria,"Inpatient (overnight) care resulting from:
* presumptive treatment for fever (drugs and consultation)
* clinical treatment for malaria (consultation@ diagnostic test@ and drugs)
* treatment of conditions other than fever such as severe anemia accompanying malaria
* case management of severe malaria - cerebral malaria
* case management of malaria accompanied by other infections such as typhoid and /or salmonella
* continuing treatment required by sequelae to cerebral malaria (e.g. neurological damage including
epilepsy and seizures)
",Nha,c. Treatment of diseases,,Quality Assurance,,HC.1.1 In patient curative care (incl. For severe malaria),1271,,,,,,,,,,,,,,,,,,,,
,,,Nets Given as Part of Outpatient Care,,,,,Nets Given as Part of Outpatient Care,Excludes: Nets sold at pharmacies@ distributed as part of prevention programmes (see: Prevention),Nha,c. Treatment of diseases,,Quality Assurance,,HC.1.3.8 Nets given as part of Outpatient care,1272,,,,,,,,,,,,,,,,,,,,
,,,ACT as Part of Outpatient Care,,,,,ACT as Part of Outpatient Care,"Regimens using ACT (e.g. artesunate@ artemether@ dihydroartemisinin@ plus other drugs such as quinoline or
antifolate based)
",Nha,c. Treatment of diseases,,Quality Assurance,,HC.1.3.9 ACT as part of OP care,1273,,,,,,,,,,,,,,,,,,,,
,,,Other Outpatient Care,,,,,Other Outpatient Care,"Other regimens including:
- Quinoline compounds (e.g. quinine@ Chloroquine@ amodiaquine@ mefloquine@ primaquine)
- Antifolate drugs (e.g. sulfonamides@ pyrimethamine (SP)@ proguanil@ chlorproguanil)
- Artesunate suppositories ",Nha,c. Treatment of diseases,,Quality Assurance,,HC.1.3.10 Other OP care,1274,,,,,,,,,,,,,,,,,,,,
,,,OP care that could not be disaggregated,,,,,OP care that could not be disaggregated,"Outpatient (no overnight) care resulting from:
* presumptive treatment for fever (drugs and consultation)
* clinical treatment for malaria (consultation@ diagnostic test@ and drugs)
* treatment of conditions other than fever such as severe anemia accompanying malaria
* case management of severe malaria - cerebral malaria
* case management of malaria accompanied by other infections such as typhoid and /or salmonella
* continuing treatment required by sequelae to cerebral malaria (e.g. neurological damage including
epilepsy and seizures)
",Nha,c. Treatment of diseases,,Quality Assurance,,HC.1.3.11 OP care that could not be disaggregated,1275,,,,,,,,,,,,,,,,,,,,
,,,Services of curative home care,,,,,Services of curative home care,,Nha,c. Treatment of diseases,,Quality Assurance,,HC.1.4 Services of curative home care,1276,,,,,,,,,,,,,,,,,,,,
,,,Environment Health for Malaria,,,,,Environment Health for Malaria,Includes water and other projects with a secondary goal of vector elimination,Nha,c. Treatment of diseases,,Quality Assurance,,HCR. 5 Environmental Health for Malaria,1277,,,,,,,,,,,,,,,,,,,,
