"acronym","name","raw_type"
"ABT","Abt Associates","International NGO"
"AED","Academy for Educational Development","International NGO"
"AA","Action Aid","International NGO"
"ADRA","Adventist Development Relief Agency","International NGO"
,"AFDB (African Dev Bank)","Donor"
"AFYA","Afri Afya","International NGO"
"ADEO","African Development and Emergency Organization","International NGO"
"APHRC","African Population and Health Research Centre","International NGO"
"AKF","Aga Khan Foundation","International NGO"
"AMREF","AMREF African Medical Research Foundation","International NGO"
"APDK","Association for the Physically Disabled in Kenya","International NGO"
"TAPWAK","Association of People with AIDS in Kenya","International NGO"
"AVSI","Association of Volunteers in International Service","International NGO"
,"BADEA","Donor"
"BN","BasicNeeds UK in Kenya","International NGO"
"BH","Beacon of Hope","International NGO"
,"BELGIUM","Donor"
"CI","Care International","International NGO"
"CARTER","Carter Centre","International NGO"
"CRS","Catholic Relief Services","International NGO"
"CHANGE","Center for Health and Gender Equity","International NGO"
"CHMP","Centrale Humanitaire Medico Pharmaceutique","International NGO"
"CAFS","Centre for African Family Studies","International NGO"
"CCD","Centre for Child Development","International NGO"
"CPAK","Cerebral Palsy Association of Kenya","International NGO"
,"CHAK (Church Health Assoc Kenya / Protestant)","International NGO"
"CHF","CHF International","International NGO"
"CCF","ChildFund International (Christian Chidrens Fund)","International NGO"
,"CHINA","Donor"
"CA","Christian Aid","International NGO"
"CHAK","Christian Health Association of Kenya","International NGO"
"CRWRC","Christian Reformed World Relief Committee","International NGO"
"CBM","Christoffel Blindenmission","International NGO"
"CISP","CISP International Committee for the Development of Peoples","International NGO"
,"CLINTON Foundation","Donor"
"CLUSA","CLUSA International","International NGO"
"COVAW","Coalition on Violence Against Women","International NGO"
"CCM-ONLUS","Comitato Collaborazione Medica","International NGO"
"CAI","Community Aid International","International NGO"
"CMED-A","Community Mobilisation for Economic Dev and Advancement ","International NGO"
"CMED-A","Community Mobilisation for Economic Development and Advancement ","International NGO"
"CI","Compassion International","International NGO"
"CU","Concern Universal","International NGO"
"CW","Concern Worldwide Kenya","International NGO"
,"DANIDA (Denmark)","Donor"
"DRC","Danish Refugee Council","International NGO"
,"DFID (UK)","Donor"
"DOW","Doctors of the World","International NGO"
"DNDI","Drugs for Neglected Diseases Initiative ","International NGO"
"EGPAF","Elizabeth Glaser Pediatric AIDS Foundation","International NGO"
"EH","Engender Health","International NGO"
,"EU","Donor"
"FCI","Family Care International","International NGO"
"FHI","Family Health International","International NGO"
"FHOK","Family Health Options Kenya","International NGO"
"FSI","Family Support institute","International NGO"
"FFH","Food for the Hungry International","International NGO"
"FGE","Foundation for Gender and Equality","International NGO"
,"FRANCE","Donor"
"FHEA","Fred Hollows Eastern Africa","International NGO"
"FUTURES","Futures Group","International NGO"
,"GATES Foundation","Donor"
,"GAVI","Donor"
,"GDC-DED (Germany)","Donor"
,"GDC-GIZ (Germany)","Donor"
,"GDC-KFW (Germany)","Donor"
"DSW","German Foundation for World Population","International NGO"
,"GFATM","Donor"
"GOAL","Goal Kenya","International NGO"
"GLUK","Great Lakes University Kenya","International NGO"
"HI","Handicap International","International NGO"
"HAI","Health Action International","International NGO"
"HPI","Health Policy Initiative","International NGO"
,"HENNET (Health International NGO Network)","International NGO"
"HOPE","HOPE Worldwide","International NGO"
"ICLA","I Choose Life-Africa","International NGO"
,"IFC (World Bank)","Donor"
"IDCCS","Inter-Diocesan Christian Community Services ","International NGO"
"IAVI","International AIDS Vaccine Initiative","International NGO"
"IFRC","International Federation of Red Cross","International NGO"
"IMC","International Medical Corps","International NGO"
"IRC","International Rescue Committee","International NGO"
"IN","Internews Network","International NGO"
"IH","Intra Health International","International NGO"
"IPAS","IPAS Africa Alliance","International NGO"
"IR ","Islamic Relief","International NGO"
